Filename 1,Filename 2,Max SSIM,Max nccorr,Max SSIM angle,Max nccorr angle,ROI 1 x,ROI 1 y,ROI 2 x,ROI 2 y
bat_111603_frame0116.jpg_bird_457977_frame0129.jp,g,0.8244951932761446,0.9738182,236,56,567,349,84,148
bat_111603_frame0116.jpg_bird_457977_frame0135.jp,g,0.8117744227553715,0.9866974,236,28,567,349,75,121
bat_111603_frame0116.jpg_bird_457977_frame0153.jp,g,0.7725366154938362,0.9764503,236,340,567,349,71,179
bat_111603_frame0116.jpg_bird_457977_frame0155.jp,g,0.823089402278987,0.986383,236,216,567,349,67,171
bat_111603_frame0116.jpg_bird_457977_frame0172.jp,g,0.8256166165757501,0.97412664,48,32,567,349,111,97
bat_111603_frame0116.jpg_bird_457977_frame0178.jp,g,0.7626079429814102,0.97463375,156,32,567,349,104,69
bat_111603_frame0116.jpg_bird_536808_frame0167.jp,g,0.9901970557547038,0.98720163,164,180,567,349,560,49
bat_111603_frame0116.jpg_bird_536808_frame0218.jp,g,0.8419388632443517,0.9873765,224,72,567,349,478,54
bat_111603_frame0116.jpg_bird_544506_frame0139.jp,g,0.8757942937420352,0.9843709,148,164,567,349,332,44
bat_111603_frame0116.jpg_bird_544506_frame0141.jp,g,0.882345426207394,0.9841536,148,340,567,349,330,43
bat_111603_frame0116.jpg_bird_660746_frame0057.jp,g,0.7589513077264155,0.9753778,252,0,567,349,558,358
bat_111603_frame0116.jpg_bird_660746_frame0101.jp,g,0.7490630497220854,0.97907805,248,60,567,349,545,297
bat_111603_frame0116.jpg_bird_714613_frame0156.jp,g,0.8123420376691984,0.986445,156,72,567,349,511,242
bat_111603_frame0116.jpg_bird_714613_frame0161.jp,g,0.8506497714240157,0.98049635,248,180,567,349,513,214
bat_111603_frame0116.jpg_bird_714613_frame0180.jp,g,0.8337714593926108,0.98473287,156,180,567,349,488,194
bat_111603_frame0116.jpg_bird_714613_frame0216.jp,g,0.8025477634974796,0.97909224,156,124,567,349,452,58
bat_111603_frame0116.jpg_bird_775752_frame0141.jp,g,0.8349829064200754,0.9857275,164,28,567,349,108,131
bat_111603_frame0116.jpg_bird_775752_frame0149.jp,g,0.8409683636543692,0.97526544,252,68,567,349,99,111
bat_111603_frame0116.jpg_bird_775752_frame0154.jp,g,0.7931560901457707,0.9813954,236,180,567,349,130,81
bat_111603_frame0116.jpg_bird_775752_frame0155.jp,g,0.8007663578132679,0.9816735,244,180,567,349,122,74
bat_111603_frame0116.jpg_bird_775752_frame0161.jp,g,0.7685649443495346,0.9715049,348,224,567,349,141,47
bat_111603_frame0116.jpg_bird_775752_frame0166.jp,g,0.6593414697193117,0.9782258,248,180,567,349,134,41
bat_111603_frame0116.jpg_bird_927881_frame0236.jp,g,0.5609322657374883,0.96640867,356,88,567,349,134,63
bat_111603_frame0116.jpg_bird_927881_frame0238.jp,g,0.7902617235323721,0.98692983,68,88,567,349,137,61
bat_111603_frame0116.jpg_bird_948603_frame0083.jp,g,0.8301946501502739,0.9845984,156,56,567,349,581,82
bat_111603_frame0116.jpg_bird_948603_frame0119.jp,g,0.8009730166100266,0.9879183,252,88,567,349,526,123
bat_111603_frame0116.jpg_bird_965232_frame0143.jp,g,0.8573299804266469,0.98315793,180,180,567,349,179,50
bat_111603_frame0116.jpg_bird_965232_frame0147.jp,g,0.8244824933786385,0.97506964,176,32,567,349,165,51
bat_111603_frame0116.jpg_bird_981819_frame0114.jp,g,0.8513223733485454,0.9882624,180,180,567,349,595,198
bat_111603_frame0116.jpg_bird_981819_frame0119.jp,g,0.8384703754157304,0.9831182,236,32,567,349,592,181
bat_111603_frame0116.jpg_bird_981819_frame0145.jp,g,0.8572352777130287,0.98784816,180,200,567,349,503,85
bat_111603_frame0116.jpg_bird_981819_frame0153.jp,g,0.8463124855504275,0.9815131,236,232,567,349,474,53
bat_111603_frame0118.jpg_bird_185554_frame0115.jp,g,0.5806724173548544,0.98627895,128,76,588,346,552,349
bat_111603_frame0118.jpg_bird_185554_frame0217.jp,g,0.8739288670049653,0.9858476,116,124,588,346,142,47
bat_111603_frame0118.jpg_bird_185554_frame0224.jp,g,0.9858850267921858,0.98676765,116,76,588,346,115,87
bat_111603_frame0118.jpg_bird_185554_frame0226.jp,g,0.9240052397744978,0.9882059,320,256,588,346,107,83
bat_111603_frame0118.jpg_bird_194086_frame0010.jp,g,0.8512438593564986,0.9841868,52,32,588,346,509,81
bat_111603_frame0118.jpg_bird_194086_frame0014.jp,g,0.8472327901863321,0.97817564,44,252,588,346,503,82
bat_111603_frame0118.jpg_bird_239352_frame0027.jp,g,0.9198565588808065,0.9854942,272,60,588,346,86,200
bat_111603_frame0118.jpg_bird_239352_frame0045.jp,g,0.8696381154955558,0.98323905,44,300,588,346,44,133
bat_111603_frame0118.jpg_bird_239352_frame0052.jp,g,0.8479744271631612,0.973827,260,52,588,346,113,95
bat_111603_frame0118.jpg_bird_239352_frame0057.jp,g,0.8260114863997442,0.9766655,252,60,588,346,105,74
bat_111603_frame0118.jpg_bird_288970_frame0169.jp,g,0.8795047694030226,0.98227006,296,256,588,346,556,223
bat_111603_frame0118.jpg_bird_288970_frame0175.jp,g,0.8809179456771198,0.985264,124,256,588,346,552,207
bat_111603_frame0118.jpg_bird_344369_frame0116.jp,g,0.9104226142683318,0.984341,180,152,588,346,583,294
bat_111603_frame0118.jpg_bird_344369_frame0136.jp,g,0.9176586844303057,0.98779154,24,168,588,346,533,283
bat_111603_frame0118.jpg_bird_418385_frame0313.jp,g,0.9481605947972255,0.984659,224,216,588,346,80,164
bat_111603_frame0118.jpg_bird_418385_frame0341.jp,g,0.9528150708814845,0.9863858,224,256,588,346,31,136
bat_111603_frame0118.jpg_bird_438007_frame0200.jp,g,0.9425761791154282,0.98262066,232,192,588,346,537,147
bat_111603_frame0118.jpg_bird_438007_frame0223.jp,g,0.9343177863057941,0.98135364,244,192,588,346,576,135
bat_111603_frame0118.jpg_bird_457977_frame0129.jp,g,0.876604857319735,0.9757192,268,52,588,346,84,148
bat_111603_frame0118.jpg_bird_457977_frame0135.jp,g,0.8756031675826349,0.9862664,44,32,588,346,75,121
bat_111603_frame0118.jpg_bird_457977_frame0153.jp,g,0.8056351990435564,0.97829086,260,204,588,346,71,179
bat_111603_frame0118.jpg_bird_457977_frame0155.jp,g,0.8939501051802159,0.9853618,44,224,588,346,67,171
bat_111603_frame0118.jpg_bird_457977_frame0172.jp,g,0.8499617098446879,0.9732263,260,40,588,346,111,97
bat_111603_frame0118.jpg_bird_457977_frame0178.jp,g,0.82397780045808,0.97800213,224,240,588,346,104,69
bat_111603_frame0118.jpg_bird_536808_frame0167.jp,g,0.9935870190520099,0.98843044,20,0,588,346,560,49
bat_111603_frame0118.jpg_bird_536808_frame0218.jp,g,0.7460167865663816,0.9862779,260,76,588,346,478,54
bat_111603_frame0118.jpg_bird_544506_frame0139.jp,g,0.9476994649476541,0.98607,0,0,588,346,332,44
bat_111603_frame0118.jpg_bird_544506_frame0141.jp,g,0.9521043290079518,0.9840659,0,152,588,346,330,43
bat_111603_frame0118.jpg_bird_660746_frame0057.jp,g,0.8180684397669751,0.97501826,316,76,588,346,558,358
bat_111603_frame0118.jpg_bird_660746_frame0101.jp,g,0.8072365320122146,0.9818966,44,76,588,346,545,297
bat_111603_frame0118.jpg_bird_714613_frame0156.jp,g,0.8742955008989616,0.9867412,224,152,588,346,511,242
bat_111603_frame0118.jpg_bird_714613_frame0161.jp,g,0.8821697711640516,0.98013484,108,0,588,346,513,214
bat_111603_frame0118.jpg_bird_714613_frame0180.jp,g,0.897230651946362,0.98494285,316,0,588,346,488,194
bat_111603_frame0118.jpg_bird_714613_frame0216.jp,g,0.8680028747702752,0.98135614,316,240,588,346,452,58
bat_111603_frame0118.jpg_bird_775752_frame0141.jp,g,0.9038819812532409,0.9853037,224,32,588,346,108,131
bat_111603_frame0118.jpg_bird_775752_frame0149.jp,g,0.8738906085086738,0.9767917,296,60,588,346,99,111
bat_111603_frame0118.jpg_bird_775752_frame0154.jp,g,0.8514420483550214,0.980828,268,32,588,346,130,81
bat_111603_frame0118.jpg_bird_775752_frame0155.jp,g,0.8630446004604231,0.9820029,44,60,588,346,122,74
bat_111603_frame0118.jpg_bird_775752_frame0161.jp,g,0.8103416891536298,0.9722005,44,40,588,346,141,47
bat_111603_frame0118.jpg_bird_775752_frame0166.jp,g,0.6680390330518738,0.97681445,108,52,588,346,134,41
bat_111603_frame0118.jpg_bird_927881_frame0236.jp,g,0.5828853598185727,0.9668512,236,152,588,346,134,63
bat_111603_frame0118.jpg_bird_927881_frame0238.jp,g,0.8525722884194447,0.98686284,224,152,588,346,137,61
bat_111603_frame0118.jpg_bird_948603_frame0083.jp,g,0.8998062062722797,0.98319876,224,152,588,346,581,82
bat_111603_frame0118.jpg_bird_948603_frame0119.jp,g,0.8772817825457512,0.98702705,316,152,588,346,526,123
bat_111603_frame0118.jpg_bird_965232_frame0143.jp,g,0.9263903132034419,0.983563,44,52,588,346,179,50
bat_111603_frame0118.jpg_bird_965232_frame0147.jp,g,0.8629385395147143,0.97615993,44,60,588,346,165,51
bat_111603_frame0118.jpg_bird_981819_frame0114.jp,g,0.9248416062358755,0.9866128,44,0,588,346,595,198
bat_111603_frame0118.jpg_bird_981819_frame0119.jp,g,0.9096169240126512,0.984024,44,32,588,346,592,181
bat_111603_frame0118.jpg_bird_981819_frame0145.jp,g,0.9305010857963381,0.98623,44,284,588,346,503,85
bat_111603_frame0118.jpg_bird_981819_frame0153.jp,g,0.9154308793630191,0.98194486,268,124,588,346,474,53
