Filename 1,Filename 2,Max SSIM,Max nccorr,Max SSIM angle,Max nccorr angle,ROI 1 x,ROI 1 y,ROI 2 x,ROI 2 y
bat_111511_frame0221.jpg_bird_284403_frame0102.jp,g,0.6977835208295008,0.98430306,156,72,52,282,576,312
bat_111511_frame0221.jpg_bird_284403_frame0139.jp,g,0.6962130361353362,0.98843265,144,72,52,282,473,236
bat_111511_frame0221.jpg_bird_290604_frame0091.jp,g,0.83049488844656,0.98511475,300,160,52,282,589,191
bat_111511_frame0221.jpg_bird_290604_frame0131.jp,g,0.6462189308910954,0.9826789,144,340,52,282,490,128
bat_111511_frame0221.jpg_bird_320545_frame0125.jp,g,0.7143390911321411,0.9843641,220,0,52,282,539,50
bat_111511_frame0221.jpg_bird_320545_frame0127.jp,g,0.7447324274443586,0.98502165,220,160,52,282,539,47
bat_111511_frame0221.jpg_bird_352418_frame0177.jp,g,0.8990254336235851,0.9847648,164,240,52,282,110,263
bat_111511_frame0221.jpg_bird_352418_frame0223.jp,g,0.7572977324710419,0.98723406,156,200,52,282,48,226
bat_111511_frame0221.jpg_bird_360977_frame0151.jp,g,0.7907678566061997,0.98705065,144,20,52,282,104,329
bat_111511_frame0221.jpg_bird_360977_frame0191.jp,g,0.6871784536637789,0.98456526,140,140,52,282,50,292
bat_111511_frame0221.jpg_bird_371543_frame0126.jp,g,0.8878181121146652,0.98104095,16,316,52,282,593,142
bat_111511_frame0221.jpg_bird_371543_frame0219.jp,g,0.7980984058480554,0.98601633,196,160,52,282,449,104
bat_111511_frame0221.jpg_bird_395848_frame0153.jp,g,0.8774669677656891,0.98183924,16,20,52,282,115,245
bat_111511_frame0221.jpg_bird_395848_frame0208.jp,g,0.7601215831679262,0.98662907,8,0,52,282,55,171
bat_111511_frame0221.jpg_bird_467652_frame0083.jp,g,0.8839084721239087,0.9830316,8,0,52,282,102,218
bat_111511_frame0221.jpg_bird_467652_frame0094.jp,g,0.9252302460402692,0.981347,8,160,52,282,74,196
